Id,Name,Type,Size,Form,Standard,Warehouse,Unit,price,LastPriceDate
,میلگرد آجدار ذوب آهن اصفهان 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,388182,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,349091,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,333636,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,321818,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,326364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار ذوب آهن اصفهان 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار میانه 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار میانه 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار میانه 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار میانه 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,318182,1404/5/7
,میلگرد آجدار ظفر بناب 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,343636,1404/5/7
,میلگرد آجدار ظفر بناب 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,345909,1404/5/7
,میلگرد آجدار ظفر بناب 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,340000,1404/5/7
,میلگرد آجدار ظفر بناب 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,340000,1404/5/7
,میلگرد آجدار ظفر بناب 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار ظفر بناب 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,336364,1404/5/7
,میلگرد آجدار نیشابور 10 A3 شاخه بنگاه تهران  ,,10,,A3,بنگاه تهران,,398182,1404/5/7
,میلگرد آجدار نیشابور 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,368182,1404/5/7
,میلگرد آجدار نیشابور 12 A3 شاخه بنگاه تهران  ,,12,,A3,بنگاه تهران,,380000,1404/5/7
,میلگرد آجدار نیشابور 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,350000,1404/5/7
,میلگرد آجدار نیشابور 14 A3 شاخه بنگاه تهران  ,,14,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 16 A3 شاخه بنگاه تهران  ,,16,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 18 A3 شاخه بنگاه تهران  ,,18,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 20 A3 شاخه بنگاه تهران  ,,20,,A3,بنگاه تهران,,339091,1404/5/7
,میلگرد آجدار نیشابور 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,322727,1404/5/7
,میلگرد آجدار نیشابور 22 A3 شاخه بنگاه تهران  ,,22,,A3,بنگاه تهران,,339091,1404/5/7
